date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm), Temperature_back_PVSys_8 (°C),Temperature_inside_PVSys_9 (°C),Temperature_outside_PVSys_10 (°C),RSSI = 7: Air Flow Sensor Outside,RSSI = 8: Air Flow Sensor Inside,RSSI = 9: Air Flow Sensor Solar,RSSI = 3: Temperature_sensor_outside (°C), RSSI = 4: Temperature_sensor_inside (°C),RSSI = 5: Temperature_sensor_solar (°C),Window_opening_angle (°),Window_blinds (%),Slats_angle (°),Ventilation_Flap_switch,Switch_3_AND_4, Solar_irradiation_17 (W/m2), Solar_irradiation_18 (W/m2),Socket_Switch_51,Socket_power_51 (W),Socket_Energy_51 (kWh), temperature_inside_50 (°C), temperature_outside_50(°C), humidity_inside_50 (%), humidity_outside_50 (%), Supply_air_flow_50(m3/h), exhaust_air_flow_50 (m3/h), Lunos_Ventilation_Mode, Lunos_Ventilation_Heat_Recovery_mode, Control_Algorithm, raspberrypi_switch, raspberrypi_power(W), raspberrypi_energy (kWh), no_of_persons, Window_blinds_power_consumption (W), Window_blinds_energy_consumption (kWh)
2022-01-02,19:20:18,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.3,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,82.85,7.84,82.800003,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,77,9.3,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.047
2022-01-02,19:20:48,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.3,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,82.85,7.84,82.800003,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,77,9.1,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,10,7.047
2022-01-02,19:21:18,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,82.85,7.84,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,77,9.1,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,42,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,10,7.047
2022-01-02,19:21:47,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,83.17,7.84,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,42,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,10,7.047
2022-01-02,19:22:37,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,83.17,7.84,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9.1,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,17,18,42,42,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:23:06,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,83.17,7.84,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9.1,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,17,18,42,42,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:23:36,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,83.17,7.52,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:24:06,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,83.17,7.52,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:24:35,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.7,29.4,8.69,9.0,6.0,6.59,38.0,83.17,7.52,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:25:05,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.02,38.0,83.17,7.52,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:25:34,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.02,38.0,83.17,7.52,83.199997,16,9,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9.1,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:26:04,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.3,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.02,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9.1,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:26:34,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.3,67,0,0,OFF,ON,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9.2,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:27:04,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.3,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,417,5.3,78,9.2,3.874,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,418,4.6,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:27:33,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,419,5.5,78,9.1,0.228,18.1,36,2.056,3,530,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,436,4.7,72,9.4,0.774,430,4.6,71,9.6,0.774,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:28:03,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,419,5.5,78,9.1,0.228,18.1,36,1.358,3,535,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,436,4.7,72,9.4,0.774,430,4.6,72,9.3,0.136,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,11,7.048
2022-01-02,19:28:33,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,419,5.5,78,9.1,0.228,18.1,36,1.358,3,535,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,436,4.7,72,9.4,0.774,430,4.6,72,9.3,0.136,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,10,7.049
2022-01-02,19:29:02,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,419,5.5,78,9.1,0.228,18.1,36,1.358,3,535,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,436,4.7,72,9.4,0.774,430,4.6,72,9.3,0.136,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,10,7.049
2022-01-02,19:29:32,8.17,4.37,7.77,4.13,7.62,3.48,80,84,87,90,92,95,0.47,0.0,0.0,0.0,0.0,0.0,0.0,22,32,0,0,OFF,OFF,ON,0,11.2,67,0,0,OFF,OFF,29.4,29.5,7.59,29.4,8.69,9.0,6.0,7.17,38.0,83.17,7.52,83.199997,16,8.5,11,1,OFF,OFF,100,100,9.165,359.679,0,0.0,OFF,OFF,27.382,5.036,0,0,OFF,OFF,0,8,100,100,260.1,0.18,66.0,419,5.5,78,9.1,0.228,18.1,36,1.358,3,535,95.6,3.3,0.27071,3871,73,21,7.7,6,0.0,0.6675,46.0,17.93,26.37,18.37,96.5,4.6,0.81775,4569,39,37,18.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,95.6,1.7,0.35164,3082,70,8,6.9,6,436,4.7,72,9.4,0.774,430,4.6,72,9.3,0.136,404,7.9,62,11.2,0.774,7.8,17.5,8.4,0.5,0.4,0.2,9.70,10.6,11.5,0,99,45,OFF,OFF,0.0,0.06,OFF,0.0,15.227,18,18,42,41,0,,0,2,0,RBC_V1,OFF,3,2.194,0.5,10,7.049
